"","#wt","#mut","pvalue","is_significant","tcga_pvalue","tcga_tumor_vs_normal"
"METTL1",12,0,5.11587738241168e-08,"yes",1.12669929009062e-05,"up"
"USPL1",10,2,2.04777568303478e-05,"yes",0.359600516450098,"up"
"FEN1",12,0,2.63201822779817e-05,"yes",2.28254797199976e-10,"up"
"TNFAIP1",12,0,4.10015026617498e-05,"yes",5.19100130363025e-05,"up"
"ATRIP",11,1,5.45245925430426e-05,"yes",4.65635454080765e-06,"up"
"TEX28",12,0,6.68997041777013e-05,"yes",0.838929124788487,"down"
"LOC101060234",12,0,6.68997041777013e-05,"yes",NA,NA
"MATK",12,0,0.000116428631729428,"yes",0.976857910932474,"up"
"IP6K2",11,1,0.00012945549111993,"yes",3.0334963597463e-05,"up"
"TACR2",12,0,0.000151084335217206,"yes",0.00540855863789657,"down"
"SUV39H2",12,0,0.000222581166332239,"no",3.51508166087196e-09,"up"
"QSOX2",12,0,0.000224934688783572,"no",3.33834621562837e-08,"up"
"STYK1",12,0,0.000291180167817651,"no",0.01687359858428,"up"
"ADNP",9,3,0.000303571184134263,"no",1.10130820064582e-06,"up"
"LEFTY2",10,2,0.000328292559951278,"no",0.478013275434133,"down"
"STARD5",11,1,0.000430800720232886,"no",0.645221384290863,"down"
"CLTCL1",12,0,0.000444271289240591,"no",5.43684236618324e-05,"up"
"CBX8",11,1,0.000502560810094447,"no",1.43959514570669e-22,"up"
"PRKAB1",12,0,0.000502891704748557,"no",0.539607269961334,"up"
"MAGEA2",12,0,0.000527789058902826,"no",0.0553234372788024,"up"
"MAGEA2B",12,0,0.000527789058902826,"no",3.51381177555756e-08,"up"
"C15orf55",12,0,0.000592828689420255,"no",NA,NA
"TAGAP",12,0,0.000596114648963428,"no",0.0470654001094505,"down"
"LIF",12,0,0.000632191512568819,"no",0.0190455573159286,"down"
"TDRKH",12,0,0.000632577359888067,"no",4.57754282076743e-15,"up"
"ARHGAP35",12,0,0.000662122526732319,"no",0.00963888703630451,"down"
"SNAP29",12,0,0.00066373232520306,"no",0.0196674673313585,"up"
"GABPB1",12,0,0.000713895792552235,"no",0.000182241353487605,"up"
"ORC4",12,0,0.000739225443313934,"no",0.0276282735784795,"up"
"SIK1",12,0,0.000863917765103417,"no",0.0336151337564543,"down"
"ING4",12,0,0.000880622895287886,"no",0.00571222259153052,"up"
"BMPER",12,0,0.000998274150621301,"no",0.0170357960282991,"down"
"L3MBTL4",11,1,0.00122518915746837,"no",0.232988681568053,"down"
"UCKL1",10,2,0.00130541704092186,"no",6.80965221620714e-09,"up"
"RAC1",12,0,0.00132274497241019,"no",2.73230747740788e-05,"up"
"TCEB2",11,1,0.00138180567312562,"no",NA,NA
"PACSIN3",12,0,0.0015169479700812,"no",9.91804176492649e-07,"up"
"CDYL2",10,2,0.00156017471942907,"no",0.354468070753752,"down"
"URI1",11,1,0.00157313443036719,"no",4.8908164033637e-05,"up"
"MTF1",11,1,0.00159154827949287,"no",0.102673939737508,"down"
"FKBP15",12,0,0.00161717538480989,"no",0.000385406195462598,"up"
"HPN",12,0,0.00162296068793807,"no",6.87021330682002e-09,"up"
"BCL11A",12,0,0.00168090684728619,"no",0.0160826630722459,"up"
"WNT11",12,0,0.00178768753499782,"no",0.0144731181222019,"up"
"RELA",12,0,0.00182096563709057,"no",0.923009337987144,"down"
"SGK196",12,0,0.00186383388648004,"no",NA,NA
"PCGF2",12,0,0.0018693806784052,"no",2.0505869723244e-18,"up"
"PAK2",12,0,0.00188051791401906,"no",2.79818904738964e-07,"up"
"SBDS",12,0,0.00194073550491657,"no",0.000187608630708423,"down"
"SBDSP1",12,0,0.00194073550491657,"no",0.0100349338510692,"down"
"SMAP1",12,0,0.00195855008647172,"no",0.512711187257893,"down"
"TBC1D22B",12,0,0.0020580282593568,"no",0.00836236492801326,"up"
"PCDH8",11,1,0.00219769308366459,"no",0.915638722657345,"up"
"COL12A1",11,1,0.00230367303406332,"no",5.61481180468471e-07,"up"
"GABRB1",11,1,0.0023339302493929,"no",0.0108798032849205,"up"
"OXA1L",12,0,0.00235070090045397,"no",0.000625589141861159,"up"
"GJC2",11,1,0.00240810317667064,"no",2.67063495690453e-05,"down"
"METTL3",12,0,0.00261215699500197,"no",7.99827989868786e-07,"up"
"OLIG3",12,0,0.00266478180598366,"no",0.000604340602203604,"up"
"PRDM11",12,0,0.00280078636687724,"no",0.000139947833369776,"down"
"SMAD6",11,1,0.00283748770997323,"no",0.658314899078069,"up"
"ANKRD42",12,0,0.00301349229978175,"no",0.15126349552356,"down"
"MPZL1",12,0,0.00308877237186602,"no",1.81084490537313e-05,"up"
"MPPED2",12,0,0.0030919116597566,"no",0.00537405804597863,"down"
"LILRB3",11,1,0.0031001509359433,"no",0.902925246358453,"up"
"NSF",11,1,0.00312762928962482,"no",0.00191058373992007,"up"
"ANKIB1",12,0,0.00314650477784133,"no",3.26861143847537e-05,"up"
"SFTPD",12,0,0.00319951000514177,"no",0.0691598931075411,"up"
"ING1",12,0,0.00325001113146932,"no",5.42243747565744e-06,"up"
"PAN3",10,2,0.00330268609133845,"no",0.000206068812256503,"up"
"FNTA",12,0,0.0033061980005234,"no",4.45049173435126e-15,"up"
"CDC73",12,0,0.00331536622903829,"no",0.164806461817073,"down"
"C3AR1",12,0,0.00333376924091271,"no",0.0547184121887173,"up"
"CD300LF",12,0,0.00335057650584511,"no",0.00176569107202288,"up"
"MYO15A",11,1,0.00341518527246766,"no",0.154464907071232,"up"
"FRS2",12,0,0.00353068182230658,"no",0.00119156704143186,"up"
"BRD7",12,0,0.00361619809777382,"no",1.17953030287416e-05,"up"
"SLC5A1",12,0,0.00363785690519627,"no",0.512462028724631,"down"
"HLX",11,1,0.00368380215432554,"no",0.38530752527183,"down"
"CHRND",12,0,0.00369158224475263,"no",0.257587432548072,"up"
"SERGEF",12,0,0.00374228584804552,"no",0.00514451325716666,"down"
"PLAG1",12,0,0.00387696120178163,"no",4.56775634600493e-05,"up"
"CCDC101",12,0,0.00400499766348373,"no",NA,NA
"XRCC5",12,0,0.00413669263770567,"no",0.0839897759603156,"up"
"RHOB",11,1,0.00417874714245295,"no",2.19652262636085e-05,"down"
"CEBPB",10,2,0.00418483145343183,"no",0.318711407003023,"down"
"PITPNC1",12,0,0.004204964932891,"no",0.180957118035786,"down"
"MIOS",12,0,0.00424101692398254,"no",0.0526332031102599,"up"
"UBE2D4",12,0,0.00425758698205801,"no",0.0726346355222349,"down"
"SETD8",12,0,0.00456560306915338,"no",NA,NA
"TCFL5",10,2,0.00460434359552898,"no",0.39658903851129,"up"
"TMED10",12,0,0.00462434208860153,"no",0.00132533178019819,"up"
"BLM",11,1,0.00464711321093706,"no",6.78405016413285e-14,"up"
"DDX43",12,0,0.00466012316556998,"no",0.134586643879374,"up"
"SEMA7A",11,1,0.00476984483702379,"no",0.4430218801466,"up"
"BTBD2",12,0,0.00481718948455992,"no",4.67903273681285e-05,"up"
"HELLS",11,1,0.00490646457931655,"no",2.82145490913888e-16,"up"
"GNA14",12,0,0.00519296924799123,"no",0.00143810065355402,"down"
"GRB2",12,0,0.00519666647699879,"no",0.000221038898676886,"up"
"ARL16",12,0,0.00531492744848028,"no",5.25302103120646e-07,"up"
"ALCAM",12,0,0.00566248070909022,"no",0.61003356453174,"down"
"RALBP1",11,1,0.00575791098632484,"no",1.09135743527837e-05,"up"
"WDTC1",12,0,0.00576954960777992,"no",0.541938799624459,"down"
"CD14",12,0,0.00581286305386611,"no",0.113141301843189,"up"
"TOPORS",12,0,0.00582645582456716,"no",0.0392940787049805,"down"
"WNT9A",11,1,0.00583343508205044,"no",0.00415620126336202,"down"
"DCAF6",12,0,0.0058359870476659,"no",0.535680453842416,"down"
"CTBP2",12,0,0.00586876756050544,"no",0.303219186164359,"down"
"TIMM50",12,0,0.00587013684971424,"no",1.16964173790196e-05,"up"
"CACNG8",12,0,0.0059127215108346,"no",0.00301533404309061,"up"
"STK16",12,0,0.00596250826119875,"no",0.483013024267616,"up"
"KHK",12,0,0.00598196701487207,"no",0.0119970613221106,"up"
"ICK",12,0,0.00598614385271371,"no",0.123075060873496,"down"
"LRRTM4",11,1,0.00603556060560035,"no",0.0468155046154277,"down"
"FBXL20",12,0,0.00604909834319497,"no",0.362300951670556,"up"
"PHF6",12,0,0.00605894229464788,"no",3.26123364081337e-08,"up"
"TTC16",10,2,0.00606467803635514,"no",0.0339298239825217,"up"
"TOP2A",12,0,0.00611403991104502,"no",3.12872953216507e-11,"up"
"MED22",12,0,0.00612965798793736,"no",0.844492642633625,"down"
"HDAC9",11,1,0.00615009385554739,"no",0.096160794549314,"down"
"P2RY14",12,0,0.00616956805727165,"no",0.00403077553315201,"down"
"ENG",10,2,0.00627947338400237,"no",0.872498409124495,"down"
"MCM7",11,1,0.0064266838732207,"no",7.16944007996092e-08,"up"
"PMP22",10,2,0.00644273779401851,"no",6.78008936183363e-05,"down"
"ENO3",11,1,0.00660311517191389,"no",0.201974195092286,"up"
"ARL14",12,0,0.00669374450070788,"no",0.0752107451647406,"down"
"NR4A2",12,0,0.00677542237250553,"no",0.000705903851463492,"down"
"ARL17A",11,1,0.0067902017259997,"no",0.0825459431761285,"up"
"ARL17B",11,1,0.0067902017259997,"no",0.484264089739258,"down"
"DRD1",12,0,0.00697304030677904,"no",0.612873856227612,"down"
"FXR2",12,0,0.00711074230911518,"no",0.0946949693027877,"up"
"GCSH",10,2,0.00713070571628463,"no",2.34224608021868e-08,"up"
"LOC100294341",12,0,0.00726391280662681,"no",NA,NA
"LOC100996709",12,0,0.00726391280662681,"no",NA,NA
"LGR6",11,1,0.00740346648381994,"no",0.0372971965704755,"down"
"CHRAC1",11,1,0.00754162135129991,"no",2.02283772052241e-08,"up"
"CCIN",12,0,0.00756511462141439,"no",0.008468989453964,"down"
"RPTOR",12,0,0.00757363158018447,"no",0.0271622395151011,"down"
"SAFB2",12,0,0.00761805210040686,"no",0.625871029222284,"up"
"P4HA2",12,0,0.00763519614719242,"no",0.184967577595531,"up"
"CX3CR1",12,0,0.00782596873395574,"no",0.0663276203239763,"down"
"RDH16",12,0,0.00786460812033954,"no",9.44412862421748e-11,"up"
"SLC7A8",12,0,0.0079352792553101,"no",0.895881566377832,"down"
"RASD2",12,0,0.00794060138949779,"no",0.119247546087745,"down"
"DMGDH",12,0,0.00804230279925955,"no",9.05598026559654e-05,"down"
"DHRS7C",12,0,0.00822890116970961,"no",0.00555437012254038,"down"
"FCN3",12,0,0.00830973213949064,"no",0.0928206415548821,"up"
"IRF5",12,0,0.00836152189404955,"no",1.20588134588921e-11,"up"
"P2RY12",12,0,0.00839123945475314,"no",0.000440921395104156,"down"
"GADD45A",12,0,0.00842477933037231,"no",0.0285534771896205,"down"
"BCKDK",12,0,0.00847717966596784,"no",4.02072907686079e-08,"up"
"SLIT1",10,2,0.00847849340278768,"no",0.0033577762579609,"up"
"NPR2",12,0,0.00864940401381668,"no",7.27839086784092e-05,"down"
"TNK1",12,0,0.00884598155888197,"no",0.00350336518424426,"up"
"AGFG2",11,1,0.00903796148468579,"no",0.119064168341484,"down"
"CCAR1",12,0,0.00912597364968554,"no",9.99944130956264e-09,"up"
"WDR26",11,1,0.00921431888530319,"no",0.25001778897327,"down"
"WDR53",12,0,0.00922634045598074,"no",9.46864273488894e-13,"up"
"DCAF12L2",11,1,0.00923974937350735,"no",0.029120997803817,"down"
"CDH4",10,2,0.00924185355088151,"no",0.134307531602798,"down"
"SERPINI2",12,0,0.00929106655490065,"no",0.0178807582551608,"down"
"LOC81691",12,0,0.00930934017228105,"no",NA,NA
"TBC1D14",11,1,0.0093892826422362,"no",0.825874792307572,"down"
"CEL",12,0,0.00949789614725678,"no",0.0535207864383721,"up"
"F11R",11,1,0.00957798426360858,"no",0.00035636875625419,"up"
"RNPC3",11,1,0.00959111568850628,"no",0.0631159005739582,"up"
"PCSK7",12,0,0.00962887930259439,"no",0.0031640970003222,"down"
"CRYZL1",12,0,0.00963724722604291,"no",0.479990522812275,"down"
"ACAP1",12,0,0.00972759307972064,"no",0.255843169584204,"down"
"ATIC",12,0,0.0101027336473873,"no",8.14540745481895e-09,"up"
"DDX4",11,1,0.0101450810377256,"no",6.20663345483271e-05,"up"
"TCF19",11,1,0.010360551627532,"no",2.29998920607465e-17,"up"
"ANKRD46",12,0,0.0104317385704734,"no",1.53639482621428e-05,"up"
"ZMYND12",11,1,0.0104803450488828,"no",0.86789355259586,"down"
"PRLHR",12,0,0.0105373829459335,"no",0.0387886678816345,"down"
"ZZZ3",12,0,0.010623458481351,"no",0.00251227054009768,"up"
"RICTOR",11,1,0.0106802005239497,"no",0.082089584343551,"up"
"BAZ1B",12,0,0.0107674737748997,"no",0.00368449077197645,"up"
"BDKRB2",12,0,0.0107674737748997,"no",6.37804571717309e-05,"down"
"HERC3",11,1,0.0110130514176799,"no",0.0218007468299451,"down"
"KIF13A",11,1,0.0110475524254447,"no",0.00249192949732353,"down"
"CADM1",12,0,0.011053410360246,"no",0.118559762854334,"up"
"PLEKHA4",11,1,0.0112064334917689,"no",0.00217090302495117,"down"
"BAD",11,1,0.0113167770741531,"no",0.000882243162714597,"up"
"GRIN3B",12,0,0.0118051526698481,"no",7.02582712066507e-15,"up"
"RAD23B",12,0,0.011877397422186,"no",9.59625662307848e-06,"up"
"TP63",11,1,0.0119033178186455,"no",0.000300691808053896,"up"
"LRWD1",10,2,0.0119108026936018,"no",1.38376625833297e-11,"up"
"TAF5L",10,2,0.0119330223112638,"no",0.28394680852742,"up"
"SMYD5",11,1,0.0120804596020771,"no",5.37351702963854e-08,"up"
"PTPN1",10,2,0.0123962304223349,"no",0.605300509229349,"up"
"KLHL24",12,0,0.0125079678619957,"no",0.0684714026426953,"up"
"CRCT1",12,0,0.0126258304390918,"no",0.354480976665768,"down"
"TESK1",12,0,0.0129447068919594,"no",0.0553530076164918,"up"
"UBE2R2",12,0,0.0130335752202083,"no",0.0143092562753098,"up"
"LRRC30",11,1,0.0133314051814831,"no",0.00100900545837819,"up"
"CABP2",10,2,0.0133403492035596,"no",0.30498580802857,"up"
"IGSF9",11,1,0.0134096129037883,"no",2.54326526150354e-21,"up"
"TLR9",12,0,0.0135692347489682,"no",0.330394799951858,"down"
"DAPK3",12,0,0.0137716297939065,"no",0.421192074091749,"down"
"NR6A1",12,0,0.0139794140055218,"no",8.10219049168234e-05,"up"
"BHMT2",12,0,0.0141059180435251,"no",0.000209003166296697,"down"
"IGSF21",12,0,0.0141956205411578,"no",0.0385216163444819,"down"
"KDSR",12,0,0.0143149926281089,"no",0.103504795792677,"down"
"DSC2",10,2,0.0144705510061354,"no",0.679720406929463,"up"
"C8orf46",11,1,0.0144741169491939,"no",0.280147162325255,"down"
"SLC6A15",12,0,0.0145473725838003,"no",2.51706500817548e-05,"up"
"ATP11C",11,1,0.0147015332262866,"no",0.0855879310092751,"down"
"HDAC11",12,0,0.0148943022565398,"no",0.0963878019329149,"up"
"RHOBTB1",11,1,0.0149509902639709,"no",0.727409167072376,"down"
"H2AFX",12,0,0.0149578419381593,"no",2.44592464825471e-11,"up"
"PRSS12",12,0,0.0150003274510845,"no",0.0438071057685425,"up"
"CDKL3",12,0,0.0150856010278728,"no",0.00174806850536672,"up"
"KLHL38",12,0,0.0150886539872792,"no",0.0516443775350156,"down"
"FRAS1",10,2,0.0151257032839989,"no",2.25150008619465e-08,"up"
"SETD1B",12,0,0.015168212290105,"no",0.209137873479586,"down"
"P4HTM",11,1,0.0153301586005435,"no",1.65733422907783e-05,"up"
"OPN5",12,0,0.0153872542927988,"no",0.390617968898545,"down"
"DCAF12L1",12,0,0.0154432036893855,"no",0.0486006364459566,"down"
"COL1A1",10,2,0.0154744754239089,"no",0.108258167882809,"up"
"FOXO3B",11,1,0.0156049244547242,"no",0.363560766243476,"up"
"SETDB2",12,0,0.0156057898456777,"no",0.0593669707910736,"down"
"RAB3B",12,0,0.0156183553989647,"no",0.000418339676194159,"up"
"SUSD4",11,1,0.0157970246025445,"no",0.405227679151883,"down"
"LAX1",11,1,0.0158503623909659,"no",0.0677637252936451,"down"
"STL",12,0,0.0160924711560147,"no",NA,NA
"PTK6",10,2,0.0162998479836849,"no",0.0107444940493373,"up"
"MTMR4",12,0,0.0163977014938145,"no",4.63640263656622e-11,"up"
"YAP1",12,0,0.016417346808886,"no",0.025521515094614,"down"
"TNFRSF13C",12,0,0.0165422226420242,"no",0.308367360744542,"down"
"MARK1",10,2,0.0167444113419109,"no",0.653746787753264,"up"
"MYL12A",11,1,0.0171975013029398,"no",6.08765612760638e-06,"up"
"MYL12B",11,1,0.0171975013029398,"no",1.12521930973277e-07,"up"
"CSNK1G3",12,0,0.0174076900453374,"no",0.777307742752841,"up"
"KCNK3",12,0,0.0174386668591571,"no",0.000917038395621369,"down"
"DLL4",12,0,0.0174973034917563,"no",0.285877748503846,"up"
"SHOC2",12,0,0.0175387925239286,"no",0.00162778111677401,"down"
"SMARCAL1",12,0,0.0176150678367299,"no",0.00914280341500839,"up"
"PNPLA7",12,0,0.0178315079513115,"no",0.000258169200157673,"down"
"NSFP1",11,1,0.0179687187910568,"no",NA,NA
"RPS6KA1",12,0,0.0179687825462048,"no",2.96512870879067e-06,"up"
"TEAD3",12,0,0.0180785222987159,"no",0.131474757822849,"down"
"GPN3",12,0,0.0181247072394481,"no",4.09861300772588e-06,"up"
"BAIAP2",12,0,0.0181389376488863,"no",0.278769696614157,"down"
"FABP1",11,1,0.0181921067218582,"no",0.149509181707325,"up"
"PHGDH",11,1,0.0182821020887314,"no",0.0201325757003485,"up"
"CSF1R",12,0,0.0183104260223203,"no",0.625242580608816,"up"
"FAM8A1",9,3,0.0185449030315684,"no",0.00629212210387428,"down"
"TBC1D10A",11,1,0.0185542974323839,"no",0.196146609654402,"down"
"TEAD1",12,0,0.0185592918381142,"no",0.00234515585650572,"down"
"SH2D2A",12,0,0.0186028574045569,"no",0.171671322963665,"up"
"CHRNA6",12,0,0.0187230994215821,"no",0.169173938772911,"up"
"RBMXL3",12,0,0.0190728465892983,"no",0.63502486180337,"up"
"JPH4",12,0,0.0191211242307267,"no",0.0565566731904235,"down"
"GNB1",12,0,0.0191359991998757,"no",0.000535901000497364,"up"
"HNRNPD",10,2,0.0192065900185077,"no",0.00247203362250094,"up"
"CYP2S1",11,1,0.0192729870403633,"no",0.224372228913165,"up"
"SLC46A1",12,0,0.0192740467247791,"no",0.000115662546238119,"up"
"CCRL2",10,2,0.0194137778032683,"no",0.00846735646177726,"up"
"RAG2",12,0,0.0195109940105289,"no",0.255263354472298,"up"
"SEPT5",12,0,0.019731258208993,"no",0.0467065164342492,"up"
"SEPT5-GP1BB",12,0,0.019731258208993,"no",NA,NA
"DPCR1",10,2,0.0197828831697162,"no",0.186681990458154,"down"
"ELN",12,0,0.0198268307367937,"no",0.00431503947065175,"down"
"CALM3",12,0,0.0198536594076464,"no",0.34702029746186,"down"
"PTPRZ1",12,0,0.0198997211175793,"no",0.43003575361621,"up"
"XRCC3",12,0,0.0200423001870887,"no",7.42750963279297e-09,"up"
"SHC2",12,0,0.0202051668484926,"no",0.0100992076074593,"down"
"ANKRD27",12,0,0.0202324171014343,"no",0.741347185142123,"up"
"PPP1R16B",10,2,0.0202351093658761,"no",0.0304768521129719,"down"
"GJA8",11,1,0.020348722674188,"no",0.271957116222266,"up"
"PAXIP1",11,1,0.0203774683097106,"no",3.5894129785435e-13,"up"
"RASL12",12,0,0.0204122450304876,"no",0.000868184642191946,"down"
"HERC4",12,0,0.0207480016598196,"no",0.00165455468822862,"up"
"DHRS7B",12,0,0.0209195796490506,"no",0.0156989686262622,"up"
"ANKRD20A1",12,0,0.0209756936555723,"no",0.953281635645933,"down"
"ANKRD20A3",12,0,0.0209756936555723,"no",0.622601896747531,"up"
"ANKRD20A2",12,0,0.0209756936555723,"no",0.95033378510169,"down"
"SLC4A4",11,1,0.0209846682635314,"no",0.277742524438706,"down"
"COL6A1",12,0,0.0211488189361444,"no",0.011851454918819,"down"
"TSPAN4",11,1,0.0212469735788772,"no",0.0104550759252672,"down"
"NTM",12,0,0.0212906012336821,"no",4.26714582594049e-05,"up"
"TRPV3",12,0,0.0214863159064235,"no",0.00677491993277931,"up"
"UBE2V1",10,2,0.021665605742859,"no",2.24705997247315e-06,"up"
"TMEM189-UBE2V1",10,2,0.021665605742859,"no",0.0406276868551597,"up"
"DENND3",12,0,0.0216917556878269,"no",0.636704594654211,"down"
"TLR8",12,0,0.0216958808887452,"no",0.111241109415509,"up"
"PRDM16",11,1,0.0217276306966314,"no",0.0992088230306978,"down"
"ANKRD50",12,0,0.0217661079879369,"no",0.0793259727329253,"down"
"WDR41",12,0,0.0217661079879369,"no",0.292858865410986,"up"
"SPHK1",12,0,0.0217785203704239,"no",2.41965120450789e-08,"up"
"IRAK2",12,0,0.021890493701405,"no",0.128539229727222,"up"
"OAT",12,0,0.0218988067972379,"no",0.00634850076541422,"down"
"JMJD8",12,0,0.0219071224857365,"no",0.669345329812559,"down"
"FCHSD2",10,2,0.0221017109521816,"no",0.401804885156733,"down"
"ABCD1",12,0,0.022111668345622,"no",0.285078678397982,"up"
"ANKS1A",12,0,0.0221619994692623,"no",0.787048247874409,"down"
"B4GALNT3",12,0,0.0221998094907602,"no",0.467816202846013,"up"
"MAGEB18",12,0,0.0222840213288377,"no",0.0297649210210211,"up"
"IRF7",11,1,0.0225678534494266,"no",1.4469321072085e-05,"up"
"NCOA1",12,0,0.022597887366471,"no",0.0139681619273676,"down"
"FN1",12,0,0.0226149558370672,"no",0.64334618598807,"up"
"SETD4",12,0,0.0226363062890035,"no",7.6750590064999e-09,"up"
"MARK2",11,1,0.0228552667082816,"no",0.000117158050430249,"up"
"SORBS1",12,0,0.0232321324716745,"no",0.00292840937826475,"down"
"CCNA2",12,0,0.023495162269333,"no",8.90803181452479e-11,"up"
"PLXDC2",12,0,0.0235260071827785,"no",0.00160511809528586,"down"
"BIRC5",11,1,0.0235313765892537,"no",4.22109360875344e-09,"up"
"KDM4A",9,3,0.0235695034663301,"no",0.000190096736547124,"up"
"TRIM24",11,1,0.0236239816510083,"no",2.11051685802942e-15,"up"
"MAEA",12,0,0.0236940296635574,"no",7.16861886406955e-05,"up"
"KCTD1",11,1,0.023912948270209,"no",0.915315918878376,"down"
"FER",12,0,0.0239389573200167,"no",0.00224786488247267,"down"
"DAD1",12,0,0.0240061137858777,"no",2.83586418938479e-06,"up"
"UBE3B",12,0,0.0240509702516101,"no",0.774269246569827,"up"
"FOXE1",11,1,0.0240538017230246,"no",0.00102893511443252,"up"
"TRIM28",12,0,0.0241048884070874,"no",7.00111347462834e-12,"up"
"C1QL2",12,0,0.0241138843621617,"no",0.0130522102380274,"up"
"DCAF5",12,0,0.0241498956208809,"no",0.586831907749618,"down"
"SH2D1A",12,0,0.024249153210684,"no",0.202715849446509,"down"
"KIFC2",11,1,0.0244279528849283,"no",2.60090715612235e-15,"up"
"UNC5B",11,1,0.0244374862195024,"no",0.224669476327522,"down"
"PHF3",12,0,0.0246220534613972,"no",0.106519503900112,"down"
"KIAA1804",11,1,0.0247248979307225,"no",NA,NA
"RAB17",12,0,0.0247596443713003,"no",1.62439072359579e-06,"up"
"EMILIN2",11,1,0.0249374098965457,"no",0.577552578131914,"up"
"CARD11",12,0,0.025138929896082,"no",0.0831394390426111,"up"
"MPP6",12,0,0.0251808457245213,"no",0.000303131677199205,"up"
"LTBP4",11,1,0.0252198067866148,"no",2.5543457714042e-05,"down"
"SMARCE1",12,0,0.0252928998718973,"no",0.00489598353184511,"up"
"OR6F1",12,0,0.0253069351703615,"no",0.31377198874622,"down"
"DUSP26",12,0,0.025381897334291,"no",0.0290129959157712,"down"
"KCTD3",11,1,0.025416073621185,"no",0.0448925774591228,"down"
"CDC34",11,1,0.0255541974190904,"no",2.02786158789452e-10,"up"
"LGALS1",12,0,0.025964230417907,"no",0.485498502967575,"up"
"CPEB2",11,1,0.0261581168767919,"no",8.58682202413969e-05,"down"
"KLHL22",12,0,0.0262184839157126,"no",0.0248681501626406,"up"
"PRMT10",11,1,0.0263096262435442,"no",NA,NA
"STARD6",12,0,0.0264165566894208,"no",3.37384372262203e-05,"up"
"NFKBIZ",12,0,0.0265136180779506,"no",0.0134601056606647,"down"
"POLN",12,0,0.0265817333747318,"no",0.771788916232421,"up"
"FANCL",12,0,0.0267330662708561,"no",4.41950304829098e-13,"up"
"CCDC79",12,0,0.0268114470078889,"no",NA,NA
"ACTL6B",11,1,0.0269950795624612,"no",0.103386479690226,"up"
"SIGLEC6",12,0,0.0271516050830769,"no",0.0347576512025739,"up"
"ALKBH4",11,1,0.0271816747648067,"no",1.2065587210766e-09,"up"
"PPP1R12A",12,0,0.027395287225789,"no",0.00269747253683762,"down"
"PARP16",12,0,0.0274002787438413,"no",0.0318320459113994,"up"
"NOG",12,0,0.0274802434265912,"no",0.00194019718356767,"up"
"ACTR8",12,0,0.0275603972995497,"no",0.0140140668457696,"up"
"OR10G2",12,0,0.0276005452793959,"no",1.51500665778973e-12,"up"
"UTRN",10,2,0.0276312496952195,"no",2.19406268561937e-05,"down"
"ANKH",11,1,0.0277424473491297,"no",0.00181380057033165,"up"
"UBE4A",12,0,0.0278222077355201,"no",0.373574379717798,"up"
"ACADSB",12,0,0.0279995586620964,"no",0.0192161275754954,"down"
"BTBD3",10,2,0.0282186142083551,"no",0.152826352002651,"down"
"KCTD8",11,1,0.0282534960583198,"no",0.212337543532805,"down"
"CPEB3",12,0,0.0283775451901752,"no",0.000214640368036307,"down"
"VSIG10",12,0,0.0284083729252187,"no",8.01555908097697e-08,"up"
"HELZ",10,2,0.02859863197288,"no",0.341912476801711,"up"
"PGLYRP2",12,0,0.0287337037724262,"no",0.000116626273270045,"up"
"PRDM13",12,0,0.0287492705814312,"no",4.09714327498869e-06,"up"
"COL10A1",12,0,0.0288272069913827,"no",1.71958845963112e-22,"up"
"ITGB1",11,1,0.028832033344755,"no",0.0692373309887201,"down"
"KRTAP5-5",12,0,0.0289940424989206,"no",0.116569333668668,"up"
"STK33",12,0,0.0291564080144613,"no",0.0154212787029383,"down"
"REV3L",10,2,0.029248873148386,"no",0.000753805701477986,"down"
"RAB12",11,1,0.0293923953894019,"no",0.814896100773429,"up"
"ANO1",10,2,0.0294701871901978,"no",2.84017423823937e-06,"up"
"KCNN2",12,0,0.0294727513269231,"no",0.0185207241774959,"down"
"STAT1",12,0,0.0295416564577763,"no",0.000379535789817492,"up"
"LILRA6",11,1,0.0296423872961655,"no",0.273371109195866,"up"
"SLC19A2",12,0,0.0296425979259485,"no",0.0281266592903362,"down"
"KIF18A",12,0,0.0297278171081664,"no",1.26895488757213e-18,"up"
"FCRLA",11,1,0.0297820097465787,"no",0.851680192447044,"down"
"TSNARE1",12,0,0.0298185790872501,"no",0.000826349915781491,"up"
"HECW2",11,1,0.0300177668353996,"no",0.211899821855348,"up"
"ZNF703",11,1,0.0301305586655191,"no",0.38607356430523,"up"
"FOXD3",12,0,0.0301838660664662,"no",3.51247624362609e-05,"down"
"TTC23",11,1,0.0302890396974911,"no",0.00663570453302536,"down"
"PLXNC1",12,0,0.0304112816854373,"no",0.0195718800292137,"up"
"KIF1C",11,1,0.0305394349501858,"no",0.02784947988789,"down"
"MYOC",12,0,0.0305963899787557,"no",0.0187148528344923,"down"
"PRKX",12,0,0.0306346129857985,"no",0.0106396419677076,"up"
"DCAF12",11,1,0.0307225834191239,"no",6.41345730502694e-05,"up"
"SFTA3",12,0,0.0308098369918414,"no",0.0035776745916011,"up"
"EGFR",12,0,0.0308922506811909,"no",0.000121344404518953,"up"
"CYC1",12,0,0.0312236824721712,"no",1.15592813453368e-06,"up"
"GTF2H2B",12,0,0.0313403574085489,"no",0.101039747725296,"up"
