"","#wt","#mut","pvalue","is_significant","tcga_pvalue","tcga_tumor_vs_normal"
"FERMT2",9,1,3.57501472869615e-10,"yes",0.813562683831774,"down"
"LOC100653057",10,0,3.61429886019948e-10,"yes",NA,NA
"CES1",9,1,1.99042327064802e-09,"yes",0.0092622763155912,"up"
"YIF1B",10,0,2.22289642248796e-08,"yes",6.38132599815376e-20,"up"
"UTY",10,0,3.27548863587879e-08,"yes",0.0567143438580885,"down"
"RFWD2",9,1,3.50045914476738e-08,"yes",7.47260079355177e-08,"up"
"MDM2",10,0,1.41252088803334e-07,"yes",0.0678409501615,"up"
"ITGB5",10,0,2.21514359632913e-07,"yes",2.38386865207336e-25,"up"
"ECHS1",10,0,3.2559363816187e-07,"yes",1.66315876155384e-08,"down"
"DAZ1",10,0,3.52936370573431e-07,"yes",0.341716102440245,"down"
"DAZ3",10,0,3.52936370573431e-07,"yes",0.0269786498820751,"up"
"DAZ2",10,0,3.52936370573431e-07,"yes",0.142084260928746,"up"
"DAZ4",10,0,3.52936370573431e-07,"yes",0.131075556473656,"up"
"GPR143",10,0,5.29308579855226e-07,"yes",0.14749176768113,"up"
"TLK2",9,1,6.97972912133693e-07,"yes",7.13726368326889e-20,"up"
"CPEB2",8,2,7.83634539813782e-07,"yes",0.0666270563860889,"down"
"MLNR",10,0,8.60440000138851e-07,"yes",8.08928083638594e-10,"up"
"SRSF4",9,1,1.13780258903518e-06,"yes",7.44044320991916e-15,"up"
"OR2T12",10,0,1.6016609551972e-06,"yes",0.507106915618911,"up"
"OR2T8",10,0,1.6016609551972e-06,"yes",0.435333994400997,"up"
"RHOQ",9,1,1.94102107231586e-06,"yes",0.152677346450927,"down"
"GPR173",10,0,2.06706487193564e-06,"yes",2.79567415226338e-09,"up"
"DUSP27",9,1,2.14835386125323e-06,"yes",0.00370175100383814,"down"
"ANGPTL4",10,0,3.3675049549986e-06,"yes",0.231895243451378,"up"
"CNKSR1",9,1,3.39078419797634e-06,"yes",0.729965932417222,"down"
"SARDH",8,2,3.4133101040057e-06,"yes",0.991417819065492,"down"
"NYX",10,0,3.70829107088078e-06,"yes",0.00042793230393684,"up"
"ERCC6L2",9,1,4.08205559965236e-06,"yes",0.000705873925747687,"up"
"SRPX",9,1,4.31868980443895e-06,"yes",0.340409835499857,"down"
"PFKFB1",10,0,6.05831580069438e-06,"yes",0.00154285296397607,"down"
"ITGAV",8,2,6.63361378205884e-06,"yes",1.2161282179298e-25,"up"
"MAGOHB",10,0,7.18870637239633e-06,"yes",2.27764013236469e-42,"up"
"OR2T33",9,1,7.59702834951526e-06,"yes",0.844991959750821,"up"
"OR2T5",10,0,8.00675817369534e-06,"yes",0.0335704382446889,"up"
"ADCY7",10,0,8.15271978105159e-06,"yes",3.44187525952206e-06,"up"
"SAR1B",10,0,9.48058589644862e-06,"yes",2.81975489896905e-06,"down"
"ONECUT3",9,1,1.06127426966474e-05,"yes",2.99917356492813e-10,"up"
"SCYL2",10,0,1.16344479428321e-05,"yes",0.00153143192450521,"up"
"TRIM17",10,0,1.20076988497919e-05,"yes",0.0202894196389629,"up"
"SMUG1",10,0,1.24371520809907e-05,"yes",1.99946325009255e-21,"up"
"EZH2",10,0,1.2741179531317e-05,"yes",8.41522563093614e-18,"up"
"MAPK10",10,0,1.3404105190129e-05,"yes",0.763209697647384,"up"
"EMP1",10,0,1.40865585128713e-05,"yes",1.94146899617551e-07,"down"
"UPK1A",10,0,1.43652340822698e-05,"yes",0.000411524511732195,"down"
"NLGN3",10,0,1.57471765308559e-05,"yes",0.542351418249468,"down"
"MIR200A",10,0,1.60127361067408e-05,"yes",0.209467147151815,"up"
"FOXO1",10,0,1.68705387870727e-05,"yes",0.377925792629542,"down"
"ZNF219",10,0,1.84241310113853e-05,"yes",0.172809506328534,"down"
"OR2T27",10,0,1.84781154103364e-05,"yes",0.00919033631334535,"up"
"KLF15",10,0,1.96221730448531e-05,"yes",0.000125111194356095,"down"
"BCAS3",10,0,2.38233295617452e-05,"yes",0.468256329286199,"up"
"TAL2",10,0,3.0014036256798e-05,"yes",0.528261153801381,"down"
"SIK3",10,0,3.43560342860316e-05,"yes",0.716463548467375,"up"
"SMEK2",9,1,3.60891303095023e-05,"yes",NA,NA
"ARHGEF15",10,0,3.71485774827152e-05,"yes",0.234652110491761,"down"
"HRH2",10,0,3.9476475636957e-05,"yes",0.356791091065022,"up"
"OGFOD3",10,0,4.11722288268246e-05,"yes",3.11284785906307e-05,"up"
"C10orf57",10,0,4.26716632395685e-05,"yes",NA,NA
"MTG1",10,0,4.28447758274997e-05,"yes",2.16210451093255e-16,"up"
"SH2D7",10,0,4.51666255418814e-05,"yes",9.67022632087483e-06,"up"
"SH2D4A",9,1,4.52179946429654e-05,"yes",2.88557521676169e-06,"down"
"UTS2D",8,2,4.56426353673267e-05,"yes",NA,NA
"DNASE1",10,0,4.57020948785303e-05,"yes",4.54409818807282e-05,"up"
"SHC4",9,1,4.61940623512902e-05,"yes",0.317807644885571,"down"
"LRWD1",10,0,4.69745852546e-05,"yes",0.00147636542750895,"up"
"UBE2K",10,0,5.03893671957023e-05,"yes",9.22012443993916e-06,"up"
"RAB5A",10,0,5.14614864062235e-05,"yes",6.33477340853007e-11,"down"
"SUZ12",9,1,5.7474743653585e-05,"yes",1.42407567875829e-16,"up"
"SLC1A3",8,2,6.14466287934823e-05,"yes",0.0954930561275903,"down"
"GRPR",10,0,6.63435497119114e-05,"yes",0.0682361141351677,"up"
"CBFA2T2",9,1,6.71622328435317e-05,"yes",3.28455409246747e-10,"up"
"EGR3",10,0,6.75725166725538e-05,"yes",0.0567901220336606,"down"
"CPVL",10,0,6.84567195771146e-05,"yes",0.822671014092491,"down"
"NSMAF",10,0,6.87073499724411e-05,"yes",2.55614759073999e-17,"up"
"CACNA2D2",10,0,7.22847751868372e-05,"yes",0.00384432865960133,"down"
"TAAR1",10,0,7.40377208461318e-05,"yes",0.0197274009872036,"down"
"ING3",9,1,7.54040446852011e-05,"yes",0.958409624139966,"down"
"TAS1R2",10,0,7.55167453173611e-05,"yes",0.21169901284347,"down"
"HCLS1",9,1,7.76903397419204e-05,"yes",5.01783950269122e-07,"up"
"SLC24A6",10,0,8.71132879198822e-05,"yes",NA,NA
"CEACAM8",10,0,8.78292339018261e-05,"yes",0.874735636006266,"up"
"OR52I2",10,0,9.05954409264886e-05,"yes",0.323737827894697,"up"
"GNB2",9,1,9.42134385206739e-05,"yes",0.00839531771652316,"up"
"MYF5",9,1,9.46262118335373e-05,"yes",0.175513943837547,"down"
"HTR2C",10,0,9.55674528815287e-05,"yes",1.02555119430784e-23,"up"
"LPAR1",10,0,9.91293639714952e-05,"yes",0.143784019443592,"down"
"NPAS3",8,2,0.000100107893284296,"yes",0.0149445466434251,"down"
"PKMYT1",10,0,0.00010959960298218,"yes",6.65487566921259e-68,"up"
"MYT1L",10,0,0.00011244309210745,"yes",0.252914888513552,"down"
"LINGO3",10,0,0.000115826535553532,"yes",0.00146614028283965,"up"
"PSKH2",9,1,0.000122346961595743,"yes",0.000332062219808938,"up"
"ARHGAP8",9,1,0.000127980853233733,"yes",7.79927489423328e-14,"up"
"PRR5-ARHGAP8",9,1,0.000127980853233733,"yes",7.59043793103325e-24,"up"
"KIRREL3",10,0,0.000128031789487726,"yes",0.159144693748641,"down"
"ANKRD65",10,0,0.000128082897311699,"yes",0.101348805867295,"up"
"ASCL4",10,0,0.000129394408903583,"yes",0.0181000867114831,"up"
"SLC12A7",9,1,0.000137891561274528,"yes",0.000642769015624022,"up"
"C12orf5",9,1,0.000141797142022781,"yes",NA,NA
"HIVEP3",10,0,0.0001435447429603,"yes",0.468118441797398,"down"
"ZBTB39",10,0,0.000145057127361348,"yes",4.39352474404143e-11,"up"
"RAB3GAP1",10,0,0.000160413360811185,"no",4.25568743895926e-07,"up"
"GABARAP",9,1,0.000170651633335961,"no",0.000212108001311379,"down"
"OR11L1",10,0,0.000171091673902724,"no",0.248562277578713,"up"
"ANKRD24",10,0,0.000171826333974501,"no",0.240726349583131,"down"
"PIM3",9,1,0.000173510428840729,"no",0.992282748230905,"down"
"BRI3",9,1,0.000173680962831879,"no",0.000124662408396324,"up"
"DDI2",10,0,0.000174613373736254,"no",0.0415275666434998,"down"
"CD8A",10,0,0.000180789524566238,"no",3.70252880106343e-08,"up"
"EPYC",10,0,0.000194599637881043,"no",6.13437221986244e-06,"up"
"ARID3A",10,0,0.000195234646315878,"no",4.33976601510314e-27,"up"
"RRAGA",10,0,0.000197293662876574,"no",0.813876584959778,"down"
"NFATC4",10,0,0.000203541255341166,"no",0.0388368299925961,"up"
"PKP3",10,0,0.000203915790210618,"no",0.653614081690672,"down"
"RBMS2",10,0,0.000212312623391941,"no",0.00315922242166702,"up"
"HTR1B",10,0,0.000212697744963464,"no",2.39782139932589e-07,"up"
"NDN",9,1,0.000219911100283299,"no",0.467612123448005,"down"
"SLAMF9",10,0,0.000232780445642233,"no",1.2594449763151e-19,"up"
"ECHDC1",10,0,0.000234934832440636,"no",0.54080358174068,"down"
"ENO2",10,0,0.000246887351432301,"no",3.66975965479885e-60,"up"
"ELF5",6,4,0.000246917730935547,"no",0.0120033977324599,"down"
"SLC7A14",7,3,0.000256550205831707,"no",0.0249912335390803,"down"
"PRR7",10,0,0.0002615663855845,"no",2.96814643834582e-07,"up"
"EXT1",8,2,0.00027635408787241,"no",4.52392848475113e-45,"up"
"TEAD4",9,1,0.00027649521147477,"no",0.00126887923062492,"up"
"ADAMTSL3",10,0,0.000296938463892338,"no",0.00225173204472229,"down"
"PAPPA2",8,2,0.00029859660500664,"no",0.0164608695902394,"up"
"TJP1",10,0,0.00029904341057585,"no",1.05443656186519e-05,"down"
"C4BPA",10,0,0.000305190051466342,"no",0.365933118894614,"down"
"LRP1B",6,4,0.000307646698750386,"no",0.00457111323599897,"down"
"ZBTB49",9,1,0.000312707028994885,"no",0.811833384152661,"up"
"SDSL",10,0,0.00031539338841724,"no",0.0084904929843442,"up"
"MFSD3",8,2,0.00032124230898456,"no",5.12786777930606e-10,"up"
"PIGS",9,1,0.000322271429688992,"no",5.93939742111404e-14,"up"
"PACSIN2",9,1,0.000340857480887191,"no",0.0115563390047772,"up"
"CNGA2",10,0,0.000341865394656415,"no",0.0659343800225409,"up"
"EPHB4",8,2,0.000345320742882627,"no",1.18305012040207e-25,"up"
"RAPGEF3",9,1,0.000354123750670454,"no",0.579831076089554,"down"
"PARP6",10,0,0.000360405521723228,"no",8.58700085600521e-23,"up"
"HK2",10,0,0.000360447846249667,"no",8.61563069505428e-05,"up"
"BCHE",8,2,0.000363363422292595,"no",4.993121057118e-07,"up"
"GNL1",10,0,0.000370998126913546,"no",4.23421317770385e-10,"up"
"ATP8B3",9,1,0.000375352861366696,"no",4.84522830959725e-45,"up"
"AJAP1",9,1,0.000382839643249477,"no",2.52457471837612e-22,"up"
"CPD",10,0,0.000392828589681371,"no",0.296487308869043,"down"
"SALL1",10,0,0.000423053837664389,"no",5.15197496060861e-16,"up"
"NEIL2",10,0,0.000424003304098197,"no",0.0645088483525059,"down"
"TTC3",10,0,0.000435547159833183,"no",0.809922217736891,"down"
"FOXN1",10,0,0.0004416564323656,"no",0.497600402196794,"up"
"ZFYVE1",8,2,0.000441767414724126,"no",5.42310386297009e-05,"up"
"ZBTB40",10,0,0.000445407509621965,"no",2.49502545208643e-10,"up"
"OR52I1",9,1,0.000466880890420573,"no",0.0895059816209624,"up"
"RAB40C",10,0,0.000486808275005135,"no",2.50312397870126e-06,"up"
"EDA",10,0,0.000498194418369402,"no",0.0154313992878989,"down"
"CIC",9,1,0.000499833949229367,"no",4.99575146021646e-07,"up"
"FRAS1",9,1,0.00050412641636044,"no",0.475613064372755,"down"
"CBFB",10,0,0.000507064748188846,"no",1.01300292431346e-14,"up"
"OR51V1",10,0,0.000507531154420593,"no",1.184823589228e-05,"up"
"NUAK1",10,0,0.000521533769390681,"no",1.5972748465143e-12,"up"
"SUSD5",10,0,0.000523885324100415,"no",0.846508360090017,"down"
"IKBKB",9,1,0.000532515847745385,"no",0.40682201725002,"down"
"SHB",10,0,0.000532849413299341,"no",0.374924756929122,"up"
"CYP3A7",9,1,0.000538316472352807,"no",0.0102343211695485,"up"
"CYP3A7-CYP3AP1",9,1,0.000538316472352807,"no",NA,NA
"IMPDH2",10,0,0.000545515528939555,"no",6.0484440191364e-07,"down"
"CYP4Z2P",10,0,0.000558625646958411,"no",0.00113867210577143,"down"
"CYP4Z1",10,0,0.000558625646958411,"no",0.315417203095216,"down"
"PRKCA",9,1,0.000570708327417901,"no",3.19265854306456e-13,"up"
"KIF5C",10,0,0.000589813500962877,"no",0.556641227083216,"down"
"PLEKHG3",8,2,0.000593071905734655,"no",8.96341505586928e-11,"up"
"CYP2B6",10,0,0.000597255622817428,"no",0.213915109196132,"down"
"HSDL2",9,1,0.000601430421118487,"no",0.000115494974610554,"down"
"MLL3",10,0,0.000607566292529449,"no",NA,NA
"ASB7",9,1,0.000619270630970781,"no",1.16137541201779e-06,"up"
"CACNA1S",10,0,0.000631170228600375,"no",0.00477013493622946,"down"
"ADK",10,0,0.000635034863654904,"no",3.22016685821127e-07,"up"
"C8orf86",8,2,0.000635555854647918,"no",0.0416829285713371,"up"
"RNFT1",10,0,0.00065150812145065,"no",0.714405989304135,"up"
"WT1",10,0,0.000654935008463697,"no",7.88274100169389e-12,"up"
"SHE",10,0,0.000680480795505867,"no",0.213717083554721,"down"
"FZD1",9,1,0.000687388888136464,"no",1.39056787632294e-06,"up"
"RNF8",10,0,0.000691828322756494,"no",0.0844103538534862,"up"
"DLG1",7,3,0.00070895856376596,"no",0.727754506375798,"up"
"OR6S1",9,1,0.000713268202438999,"no",2.03725737265159e-09,"up"
"LLGL1",10,0,0.000718466673993223,"no",2.40524117059878e-12,"up"
"DCAF5",9,1,0.000721158281695944,"no",0.0502370213220816,"up"
"KRTAP5-5",10,0,0.000721670447862865,"no",0.309835555890084,"down"
"ATP8B2",10,0,0.000742187014357576,"no",2.49980614164298e-05,"up"
"FBXW10",10,0,0.000751060369160506,"no",0.642086484795199,"up"
"CDRT1",10,0,0.000751060369160506,"no",0.824021413458583,"up"
"SLC6A12",9,1,0.000754273606093037,"no",5.18051986514091e-08,"up"
"H6PD",10,0,0.000756255598568845,"no",0.0412340480155821,"down"
"RAB7L1",10,0,0.000759977993300076,"no",NA,NA
"HBB",10,0,0.000771697133756022,"no",0.17665006154716,"down"
"TBC1D2B",10,0,0.000786013077286873,"no",7.35299205737229e-19,"up"
"TRPT1",8,2,0.000795401312526312,"no",0.0802815914584647,"down"
"TAOK3",10,0,0.000800314009272718,"no",0.119079335687704,"up"
"DHRS12",10,0,0.000814724790345056,"no",0.000613407103413003,"down"
"ARHGEF26",7,3,0.000815273387927751,"no",0.0569943024230571,"down"
"ADCY8",6,4,0.000830956053255671,"no",0.152896537915403,"down"
"PRKCQ",10,0,0.000840607594442377,"no",0.0522294815603367,"down"
"CYP51A1",9,1,0.000848276911761592,"no",0.709825901749552,"up"
"EN1",9,1,0.000890457143089107,"no",2.20459599318233e-26,"up"
"NTN1",10,0,0.000894321039932366,"no",0.0295904494211815,"down"
"SIGLEC10",10,0,0.000895174652642661,"no",1.36910105493691e-08,"up"
"SLN",10,0,0.000901566162160528,"no",0.00222015888914849,"down"
"SLC16A6",10,0,0.00091111650930642,"no",5.24804271396865e-08,"down"
"IQGAP2",10,0,0.000914950672963766,"no",0.0480825251906601,"down"
"RNF130",10,0,0.000929162258335614,"no",0.968284567071294,"up"
"PTPRD",7,3,0.000936091514191717,"no",3.64615802777387e-12,"up"
"ATAD3C",9,1,0.000938540022794032,"no",0.935470102207595,"down"
"OR2T29",6,4,0.000940764362761692,"no",0.0552364671238813,"up"
"ENC1",9,1,0.000957162697605263,"no",0.0106801186889664,"up"
"RALGPS2",9,1,0.000959566462154005,"no",0.000309212116075373,"down"
"RRAGB",9,1,0.000973874579545564,"no",0.0855639358032124,"up"
"SPRYD4",10,0,0.00099150566086692,"no",0.0354398538904219,"down"
"KCNJ4",9,1,0.000997814674433273,"no",0.000108370883072952,"up"
"ABCC9",8,2,0.00100742737381931,"no",0.0300434038329233,"down"
"MIEN1",10,0,0.00101725491623361,"no",0.000508727233416912,"up"
"WIF1",10,0,0.00104348213544936,"no",0.196635365556479,"down"
"RBMS1",10,0,0.00105189708548414,"no",1.36764552212498e-15,"up"
"PRKY",10,0,0.00110110595287805,"no",4.02868289849049e-05,"up"
"SORCS2",9,1,0.00117305940461121,"no",5.78770114899487e-21,"up"
"OLR1",9,1,0.00117971300007791,"no",7.70150523574596e-13,"up"
"MAP2K4",10,0,0.00118777701741879,"no",0.0179872141134979,"down"
"SERPING1",6,4,0.00120230256033649,"no",0.00950633238699444,"up"
"ATF1",9,1,0.00123335291478899,"no",0.000773640165002313,"up"
"ASPHD2",10,0,0.00125548901563866,"no",8.00418617506127e-17,"up"
"EP300",8,2,0.00125607354615309,"no",0.00149674838596946,"up"
"IL1R2",8,2,0.00127814424296036,"no",0.255212761925012,"down"
"ABHD13",9,1,0.0012944614555207,"no",0.240625524867617,"up"
"MCF2L",10,0,0.00131338473022635,"no",0.00062308557047637,"down"
"GPR68",9,1,0.00134548677804869,"no",4.88637780448639e-11,"up"
"CPS1",10,0,0.0013487153042312,"no",0.405353517335919,"up"
"DNAJC27",10,0,0.00135081363312284,"no",0.383634744751325,"down"
"IGF1",10,0,0.0013562572088186,"no",0.00953706729253648,"down"
"SYNCRIP",10,0,0.00136904633858248,"no",0.00118710627927151,"up"
"SOX13",10,0,0.00137720636849048,"no",0.0515091388210141,"up"
"FOXJ3",10,0,0.00142405138145651,"no",0.000286196115561987,"up"
"ABCB10",9,1,0.00144000414491396,"no",0.0373371431863174,"up"
"SDK1",9,1,0.00144527291107199,"no",8.94400744723344e-12,"up"
"STK17B",10,0,0.0014481309334673,"no",3.66875496311339e-05,"up"
"INPP4B",10,0,0.00145543691117089,"no",0.0386635457450852,"up"
"FCGR2C",10,0,0.00145788724338769,"no",2.66065501777575e-05,"up"
"NRBF2",10,0,0.0014606548006274,"no",1.4905394079699e-13,"up"
"LHX3",9,1,0.00147861443232855,"no",6.47260609293939e-07,"up"
"MAGEB18",10,0,0.00148151659675055,"no",7.72760519752918e-06,"up"
"TNFRSF19",10,0,0.00148912746920848,"no",7.95478161213951e-05,"down"
"OR2B11",10,0,0.00149082222983044,"no",0.000163795721414096,"up"
"PKIA",10,0,0.00149830806348894,"no",0.00184126312239013,"down"
"WNK4",10,0,0.00151317893416558,"no",0.00109354115607749,"down"
"DUSP3",10,0,0.00153490708268433,"no",0.0030312138097436,"down"
"CDKN3",9,1,0.00154077142093789,"no",6.9312846264875e-62,"up"
"FOXF1",10,0,0.00154943145187136,"no",0.0666734826406726,"up"
"LMO7",9,1,0.00158006364492425,"no",2.3181567613956e-07,"down"
"ARL3",10,0,0.00159279859739436,"no",0.00106978730207225,"up"
"LHX8",9,1,0.00161814708881491,"no",0.436247512369364,"up"
"ALB",9,1,0.00162701463030823,"no",0.463982541043324,"down"
"ANKRD36B",10,0,0.00163777704081136,"no",1.28332251843409e-05,"up"
"ECM1",9,1,0.0016541549830219,"no",0.000375045134695858,"down"
"AHCYL1",9,1,0.00167489625408523,"no",0.0148134647160643,"down"
"ROS1",8,2,0.00170732620994463,"no",3.97911273483893e-08,"up"
"LUM",10,0,0.00170742887665976,"no",4.43081766462167e-21,"up"
"KDR",9,1,0.00170946740564737,"no",0.916671745458851,"down"
"CLCN3",10,0,0.00171166492106745,"no",8.17304460542901e-08,"down"
"SLC5A11",10,0,0.00172448740472386,"no",3.56435535653605e-09,"up"
"HOXB-AS3",10,0,0.00173589748788572,"no",0.0174150214416366,"up"
"PWWP2B",10,0,0.00176023265955738,"no",0.0579402963922302,"down"
"CD74",10,0,0.00177722349127674,"no",0.0166787729897557,"up"
"LILRA6",9,1,0.00177726677591805,"no",1.15622921134424e-14,"up"
"SP7",10,0,0.00179502660607211,"no",0.00209378815368654,"up"
"LIG4",10,0,0.0017979807184465,"no",0.000571115239557488,"up"
"PDE6G",8,2,0.00180403056086287,"no",6.65613880671927e-05,"up"
"STARD9",9,1,0.0018163209026627,"no",0.123078146179978,"up"
"CHUK",8,2,0.00183582081142108,"no",9.32580006867782e-06,"up"
"C17orf99",9,1,0.00184104066853308,"no",2.24088753651507e-18,"up"
"GNG13",10,0,0.00184575733237125,"no",0.913914398635332,"down"
"HS3ST3B1",9,1,0.00184944466655579,"no",0.965067973479802,"down"
"LMO1",10,0,0.00185602977711719,"no",0.0234163668538053,"down"
"YES1",9,1,0.00186005389296395,"no",1.01492030214054e-17,"up"
"GSTM4",9,1,0.00186445956965475,"no",0.582702822858495,"down"
"GRAP",10,0,0.00187789814525774,"no",4.79145014894048e-15,"up"
"BAI3",10,0,0.0018828878144258,"no",NA,NA
"LETM2",8,2,0.00190061875972292,"no",6.00852451271354e-21,"up"
"FZD3",10,0,0.00190458193040355,"no",0.368404732042514,"down"
"CHIC2",9,1,0.00193096053667363,"no",0.027066900206498,"up"
"RAG2",8,2,0.00198343200097517,"no",2.37473962989149e-08,"up"
"WDR83",10,0,0.00202535066355769,"no",2.6933373508442e-07,"up"
"GPAA1",8,2,0.00205043371336122,"no",2.639596895526e-10,"up"
"ARHGAP15",9,1,0.00206601679060159,"no",0.056833684723614,"up"
"KDM4B",10,0,0.00216957449570387,"no",0.434837774108925,"up"
"ASB15",10,0,0.00222672005358115,"no",0.00201959801125662,"down"
"ADRM1",10,0,0.00224286733344736,"no",1.35309883307243e-17,"up"
"SATB2",10,0,0.00224774144275763,"no",6.72568352307336e-09,"up"
"WDR66",10,0,0.00226550854548679,"no",2.71816145795128e-16,"up"
"C11orf24",6,4,0.00227299842353479,"no",6.7994941296126e-30,"up"
"TFEC",9,1,0.00229076043346932,"no",2.00137439086941e-12,"up"
"ESAM",10,0,0.00230512707766128,"no",0.388436857008716,"down"
"CLPTM1L",9,1,0.00230701516342491,"no",1.43582277674998e-23,"up"
"COLEC11",10,0,0.0023101043768694,"no",1.9376451906292e-05,"up"
"FARP1",10,0,0.00233963178307639,"no",0.550297851081854,"up"
"PAFAH1B1",10,0,0.00234030536522689,"no",0.00424391341408364,"up"
"ATF6B",10,0,0.002350024008277,"no",9.14693983454877e-08,"up"
"CHRM5",10,0,0.00236068773767761,"no",2.48641371867439e-12,"up"
"ANKK1",10,0,0.00238258581584327,"no",0.0329783276737176,"up"
"RAB25",10,0,0.00240975287696732,"no",5.73548192283291e-08,"down"
"CYP2C18",10,0,0.00242788297266816,"no",8.60474460008334e-08,"down"
"SUV39H2",10,0,0.00249456335016407,"no",1.2134681433578e-17,"up"
"JHDM1D",10,0,0.00253754998774947,"no",NA,NA
"PCSK1N",10,0,0.00255471326265422,"no",3.83367177717887e-05,"up"
"WDR91",10,0,0.00255692809787833,"no",1.98913612805355e-17,"up"
"FANCE",10,0,0.00256201875252782,"no",4.57766243235301e-30,"up"
"FERMT3",8,2,0.0025924216595028,"no",3.31601574803506e-08,"up"
"PYGO2",10,0,0.00260383301397993,"no",2.72280055976242e-16,"up"
"TBX18",10,0,0.00263900907589398,"no",6.39659484457521e-15,"up"
"COL5A1",7,3,0.00264013978648103,"no",1.46173600653544e-36,"up"
"TBC1D24",9,1,0.00266882512265521,"no",0.154879023051953,"up"
"GJB1",10,0,0.0026714986739762,"no",0.00271391555934208,"down"
"TLE1",10,0,0.00267348612149076,"no",0.000150966788224277,"up"
"NFKBIE",9,1,0.0027022163106859,"no",2.33526771724359e-12,"up"
"GRK7",8,2,0.00277704135067713,"no",1.18248294274825e-11,"up"
"TBX4",10,0,0.00284138444134785,"no",1.67722389832613e-05,"up"
"CNR1",10,0,0.00284292058990476,"no",0.216473682878249,"down"
"IGSF8",8,2,0.00286847665092138,"no",5.77048067339628e-17,"up"
"ISL1",9,1,0.00288748373844006,"no",0.140695612752632,"down"
"GPR20",8,2,0.002899323951843,"no",0.0112658448829326,"up"
"SQSTM1",10,0,0.00292807404019135,"no",0.195386249389825,"up"
"NCK2",9,1,0.0029297659060632,"no",0.123970370614478,"down"
"SFN",10,0,0.00295403746855305,"no",0.0973634629477419,"up"
"LRP10",10,0,0.00300751971936897,"no",9.59916590925942e-08,"down"
"NET1",10,0,0.003053879087208,"no",0.316304578442706,"down"
"SERPINC1",9,1,0.00306382191293542,"no",0.466621796965748,"down"
"WNT9B",10,0,0.003068880846398,"no",0.840432061743368,"up"
"SGK1",10,0,0.00307426127315924,"no",0.31324082062091,"up"
"ANKRD32",10,0,0.00308095284674803,"no",NA,NA
"GMCL1",10,0,0.00309419597713223,"no",0.000871870596452175,"up"
"DMRT1",10,0,0.00311693976082328,"no",2.02002864131434e-07,"up"
"SLC2A3",10,0,0.00312805582339892,"no",0.102826660517994,"up"
"SLC2A14",10,0,0.00312805582339892,"no",4.1493360782786e-08,"up"
"ORC5",9,1,0.00314685266317893,"no",1.36441698837028e-21,"up"
"GRIK1",9,1,0.0031595201121779,"no",3.38846864587238e-08,"up"
"FLRT1",8,2,0.00316730054504355,"no",0.00515860375413225,"up"
"ARX",10,0,0.00322555573486638,"no",0.00251858368003373,"down"
"GZF1",10,0,0.00335518975699289,"no",3.19338283768223e-14,"up"
"FOXG1",9,1,0.00335924224408379,"no",0.0003401880779866,"up"
"DHRS7",9,1,0.0033792012472138,"no",0.854743256887456,"down"
"KCNN2",10,0,0.00338209899790587,"no",0.0365789573359284,"down"
"TCIRG1",6,4,0.00339206497216671,"no",2.2152104716443e-11,"up"
"C14orf169",8,2,0.00339266440674735,"no",NA,NA
"CEACAM5",10,0,0.00345077999043464,"no",0.000258916881479916,"down"
"SRPK3",10,0,0.00345622912422527,"no",0.00359530763439759,"down"
"KIF6",8,2,0.00346862329520892,"no",0.210334437226307,"down"
"SREK1",10,0,0.00347495416111054,"no",0.00134898007682699,"up"
"MATN3",10,0,0.00350153987197865,"no",1.35983282119705e-24,"up"
"SCN2B",10,0,0.00351540048705434,"no",0.000271276345288758,"down"
"RASGRP4",10,0,0.00355182363165751,"no",0.283998025970548,"up"
"NR5A2",10,0,0.00357774663731092,"no",0.970276359068424,"down"
"EP400",10,0,0.00357829637323381,"no",0.00277132533394222,"up"
"TBX5",10,0,0.00365625048159268,"no",0.000573331449747903,"up"
"MTMR6",10,0,0.00367100810287291,"no",0.00117704049981326,"down"
"RND1",10,0,0.00371114668157413,"no",0.00119582890077877,"down"
"GABRG1",9,1,0.00373067949561345,"no",0.00122220690361646,"up"
"OR2L13",10,0,0.00377883359368836,"no",1.21250651978481e-06,"up"
"SLC13A3",10,0,0.00381790861668063,"no",0.0676524091400198,"down"
"PRKAG2",10,0,0.00381835743027681,"no",0.0285543488236663,"down"
"NOV",8,2,0.00381961284054666,"no",0.735956787905545,"up"
"PGAM1",10,0,0.00382573482721948,"no",1.33593570903874e-07,"up"
"NR1D2",9,1,0.00384503629188282,"no",0.000295915259756097,"down"
"UGT8",10,0,0.00384820202224267,"no",1.98250428346966e-08,"up"
"ALKBH5",10,0,0.00385253480500936,"no",0.319119219735537,"up"
"MSI1",10,0,0.00386256618393388,"no",5.19848076406202e-17,"up"
"LPAR2",10,0,0.00386839603540468,"no",7.13503762475634e-18,"up"
"ANKRD36C",9,1,0.00387034092478988,"no",0.100918933480883,"down"
"GPR119",10,0,0.00394753062982567,"no",0.548758995499282,"up"
"ABCD4",8,2,0.00396183792305771,"no",9.88499285101556e-05,"up"
"SP100",10,0,0.00396750023755399,"no",6.45791235724588e-26,"up"
"MKL1",9,1,0.00399568196184752,"no",2.58997849027364e-12,"up"
"USP33",9,1,0.00401334779659068,"no",0.365079969489327,"up"
"NPPB",10,0,0.00402757901710238,"no",0.00466250979286155,"up"
