"","#wt(ATARiS)","#mut(ATARiS)","pvalue(ATARiS)","is_significant(ATARiS)","wt_median(DEMETER2)","wt_IQR(DEMETER2)","mut_median(DEMETER2)","mut_IQR(DEMETER2)","#wt(CRISPR)","#mut(CRISPR)","pvalue(CRISPR)","is_significant(CRISPR)","intogen_gene_role","tcga_expression_in_50pc_tumor_samples","tcga_missense_mutation_frequency","tcga_nrSamplesInMutData"
"TP53",21,7,5.13476990518609e-07,"yes",0.84388674257669,0.600633556676956,-0.204670627535384,0.238919117052744,17,4,0.111079164607507,"no","ACC_LoF,ALL_LoF,AML_LoF,AN_LoF,ANGS_LoF,BC_LoF,BLCA_LoF,BLY_LoF,BRCA_LoF,CESC_LoF,CH_LoF,CLL_LoF,CM_LoF,COREAD_LoF,DLBCL_LoF,ESCA_LoF,EWS_LoF,GBM_LoF,HC_LoF,HGG_LoF,HNSC_LoF,LEIS_LoF,LGG_LoF,LUAD_LoF,LUSC_LoF,LY_LoF,MBL_LoF,MESO_LoF,MM_LoF,NHLY_LoF,NSCLC_LoF,NSPH_LoF,OS_LoF,OV_LoF,PAAD_LoF,PAIS_LoF,PIA_LoF,PRAD_LoF,RCCC_LoF,RCH_LoF,RPC_LoF,S_LoF,SBCC_LoF,SCLC_LoF,SSCC_LoF,ST_LoF,THCA_LoF,THYM_LoF,UCEC_LoF,UCS_LoF,VV_LoF,WT_LoF","yes",0.0792291220556745,467
"NRAS",28,6,9.36164509886059e-06,"yes",0.015385939237757,0.0768832383632841,-1.36633254847564,0.838449542041351,19,6,0.0089204717339897,"no","ALL_Act,AML_Act,ANGS_Act,CH_Act,CLL_Act,CM_Act,COREAD_Act,GBM_Act,HC_Act,LGG_Act,LUAD_Act,LUSC_Act,MGCT_Act,MM_Act,NSPH_Act,OV_Act,PAAD_Act,PRAD_Act,THCA_Act,THYM_Act,UCEC_Act","yes",0.246252676659529,467
"BRAF",6,29,1.32636722023056e-05,"yes",0.113632904823266,0.258890790457648,-0.982811705724949,0.727673922401272,5,21,0.0832933671605529,"no","BLCA_Act,BRCA_Act,CLL_Act,CM_Act,COREAD_Act,DLBCL_Act,GBM_Act,HGG_Act,LGG_Act,LUAD_Act,LUSC_Act,MM_Act,NSCLC_Act,OV_Act,PIA_Act,PRAD_Act,RPC_Act,THCA_Act,UCEC_Act","yes",0.494646680942184,467
"ATP10D",33,3,6.56614206454875e-05,"yes",0.00782480366050213,0.308623935802815,-0.125522308645639,0.137223460548275,24,2,0.236050738472571,"no","","yes",0.0942184154175589,467
"TRPM7",33,3,0.000774382433685577,"no",-0.0410695030715176,0.225410574239014,-0.377081322511961,0.203586962959139,24,2,0.404384071667626,"no","","yes",0.0492505353319058,467
"SLC5A1",33,2,0.00158454407122686,"no",0.04376163793196,0.26155357004025,0.0106201147769895,0.0228154874052795,24,2,0.340553927845013,"no","","yes",0.0321199143468951,467
"GABRA2",31,4,0.0025345473781877,"no",-0.0566202233603623,0.185604653628228,-0.403855391622934,0.148187842209168,23,3,0.489546032299379,"no","","yes",0.0642398286937901,467
"CD1E",31,2,0.00396415603124451,"no",NA,NA,NA,NA,24,0,NA,NA,"","yes",0.0599571734475375,467
"CDK4",34,2,0.00420795223813722,"no",-0.144506419051044,0.32828824114624,-0.885656917543508,0.0884610014102605,25,1,NA,NA,"CM_Act","yes",0.0214132762312634,467
"GPN3",33,2,0.00466641742117016,"no",-0.380984771468323,0.29277974422484,-1.76949601051497,0.680067679764725,24,1,NA,NA,"","yes",0.00214132762312634,467
"ATR",32,2,0.0069547267485907,"no",-0.36992948680869,0.267712429644478,-1.11202765228705,0.323933486544728,23,1,NA,NA,"CM_LoF,UCEC_LoF","yes",0.0599571734475375,467
"SELL",31,2,0.00726703514154044,"no",-0.0273796460293868,0.244098510309247,-0.262908845458757,0.163360634415061,22,1,NA,NA,"","yes",0.0342612419700214,467
"HS3ST2",31,3,0.00744965370321951,"no",-0.18180513880445,0.196091854064388,-0.252854641967025,0.084020295415476,23,2,0.864020277738249,"no","","yes",0.0171306209850107,467
"ERN2",31,4,0.00844771898430099,"no",NA,NA,NA,NA,23,3,0.413489713993515,"no","","yes",0.0663811563169165,467
"GEMIN4",33,2,0.00901178019598396,"no",-0.00294982364247323,0.176858112854955,-0.46927137377632,0.170308816775283,24,1,NA,NA,"","yes",0.0107066381156317,467
"GALK1",29,2,0.00952297877364211,"no",-0.0758783538048101,0.232719361804847,-0.238064507894504,0.0316255509821706,22,2,0.376052218321703,"no","","yes",0.00428265524625268,467
"UBR5",32,2,0.0114123876631057,"no",-0.213274563786531,0.311399314224602,-0.703419387456225,0.411974099144116,25,1,NA,NA,"CM_ambiguous,DLBCL_ambiguous,MM_ambiguous,RCH_ambiguous","yes",0.0642398286937901,467
"AGAP8",32,2,0.0127645575449665,"no",NA,NA,NA,NA,0,0,NA,NA,"",NA,NA,467
"DCLK1",32,3,0.0132680331465156,"no",-0.0491678676130243,0.233136478666892,-0.174642307422216,0.265943016936274,24,2,0.667215905136153,"no","","yes",0.0278372591006424,467
"SLIT2",31,4,0.014037227861405,"no",-0.0114960243573192,0.20821576332193,-0.1286387458885,0.109155762265917,23,3,0.680379880808645,"no","","yes",0.154175588865096,467
"KCNS2",34,2,0.0140717013388568,"no",0.0276352497550568,0.238577007044821,0.0286379298160666,0.00442085625214069,25,1,NA,NA,"","yes",0.0214132762312634,467
"VAV3",28,3,0.014488869543187,"no",0.110964293036354,0.227562982536254,-0.0122890577535991,0.19740364866358,20,2,0.679471763407997,"no","","yes",0.0342612419700214,467
"SLC2A14",30,3,0.0159415348422084,"no",0.0517629318645524,0.197023951479424,0.104209173969217,0.0164520502900346,22,2,0.481513465005089,"no","","yes",0.0256959314775161,467
"COL21A1",30,3,0.0165681175555586,"no",-0.0311941123015902,0.140829934816698,-0.0798355246604784,0.0432402091825238,23,1,NA,NA,"","yes",0.17558886509636,467
"F2RL3",32,3,0.0174547043468227,"no",-0.0939763573888846,0.160687880323126,-0.20917977441964,0.142953732753679,23,3,0.52378914676199,"no","","yes",0.0149892933618844,467
"AGAP2",34,2,0.0178520126824155,"no",0.00317048742432541,0.148759346855156,-0.136268251190482,0.018549580457247,24,2,0.4891293039675,"no","","yes",0.0235546038543897,467
"RAPGEF5",24,3,0.0200855547322887,"no",-0.0445858756822508,0.360548540225589,-0.253855100446694,0.10234056305646,17,2,0.4540990998733,"no","","yes",0.0556745182012848,467
"CAMK2A",33,2,0.0210145252658986,"no",-0.0707200848647897,0.352575165836257,-0.207672986416095,0.109210542518331,26,0,NA,NA,"","yes",0.0107066381156317,467
"CD22",31,3,0.0213166105028543,"no",-0.0531143032769355,0.199692358950273,-0.0312134299266861,0.0325507456296545,23,2,0.382601318426938,"no","","yes",0.0642398286937901,467
"EIF4G2",34,2,0.0230144409621323,"no",-0.463183364026404,0.286327783082203,-1.07595653482427,0.209581222788854,25,1,NA,NA,"","yes",0.0149892933618844,467
"LRRC4B",34,2,0.0233692455511046,"no",-0.170066080152142,0.410596982354092,-0.284373937149283,0.152225058840153,24,2,0.310570592484194,"no","","yes",0.0342612419700214,467
"TBR1",32,3,0.0236449275671458,"no",-0.0176160731057277,0.150963819725857,-0.0203887479292847,0.0311949741428217,23,3,0.389604763985973,"no","","yes",0.0235546038543897,467
"PKP4",34,2,0.0238934269151634,"no",-0.213531603206007,0.26393867070252,-0.322830782284112,0.121979213592811,25,1,NA,NA,"","yes",0.0321199143468951,467
"BTNL9",33,2,0.0241110152715805,"no",0.00309350703301366,0.172505506725432,-0.072188769168023,0.196792643550089,23,2,0.568932419815801,"no","","yes",0.00856531049250535,467
"NPY5R",32,4,0.0241861584023535,"no",0.0580531731650561,0.114116925854968,-0.0423738983280727,0.103859880374374,23,3,0.752222593936789,"no","","no",0.0685224839400428,467
"GPR87",30,2,0.0261310227006104,"no",0.0750250489644806,0.1405252363124,-0.269075176574123,0.0986089569163154,22,1,NA,NA,"","yes",0.019271948608137,467
"KMT2C",23,8,0.0269833204002721,"no",-0.00471318178617991,0.245893603172441,-0.0228987586928428,0.0796963960829489,16,6,0.340610839971619,"no","ACY_LoF,AML_LoF,AN_LoF,BLCA_LoF,BRCA_LoF,CESC_LoF,CH_LoF,CM_LoF,COREAD_LoF,ESCA_LoF,EWS_LoF,HC_LoF,HNSC_LoF,LUAD_LoF,LUSC_LoF,MBL_LoF,NSPH_LoF,OV_LoF,PAAD_LoF,PAIS_LoF,PCPG_LoF,PIA_LoF,PRAD_LoF,RCCC_LoF,RPC_LoF,SCLC_LoF,SG_LoF,SSCC_LoF,ST_LoF,THCA_LoF,UCEC_LoF,VV_LoF","yes",0.0877944325481799,467
"CYP3A5",29,3,0.0273911385131935,"no",0.0273823431524157,0.180968586612687,0.104449185340412,0.170721913773641,21,2,0.579038499628393,"no","","yes",0.0235546038543897,467
"SERPINI1",32,2,0.0288219094882461,"no",-0.131281890055852,0.195279317651436,-0.0545195434662185,0.0481295368609085,23,2,0.455283823207419,"no","","yes",0.0278372591006424,467
"MPPED2",31,4,0.0290137490290814,"no",0.0698386051020755,0.196011940717971,-0.0136004290826443,0.235180663311931,24,1,NA,NA,"","yes",0.019271948608137,467
"MAGEF1",33,2,0.0309148001609838,"no",0.0217794366386331,0.197395647872442,0.102695138103249,0.0657938507448037,23,2,0.67952211469795,"no","","yes",0.00214132762312634,467
"CHRNA7",33,2,0.0312069417909627,"no",-0.00537618368321225,0.20263149837304,0.066843633575096,0.037272969908122,26,0,NA,NA,"","yes",0.012847965738758,467
"MYBBP1A",32,2,0.0318221212068395,"no",-0.330129654702548,0.239135936050998,-0.563349561249985,0.113739537715333,23,2,0.495492308694198,"no","","yes",0.0214132762312634,467
"KANSL3",33,2,0.0321896437872736,"no",-0.177343087968371,0.140224839884443,-0.384746419765458,0.137405242980158,23,2,0.504747151388605,"no","","yes",0.019271948608137,467
"CORO7",31,4,0.0328167798801816,"no",0.0215851575605438,0.138220375744051,-0.0914609605826049,0.0133814191949207,22,4,0.463498717052222,"no","","yes",0.0214132762312634,467
"OR51V1",32,3,0.0331205420343172,"no",0.13351057357619,0.255032889926522,0.0264302488158803,0.0755073353555876,23,3,0.157090016951025,"no","","no",0.0406852248394004,467
"CBX2",31,2,0.0331567249068356,"no",-0.0291773978475811,0.215378017246216,-0.224564357745674,0.219403948095203,24,1,NA,NA,"","yes",0.0171306209850107,467
"CPB2",32,3,0.0343420319396811,"no",-0.0387372144415031,0.173723514542116,-0.0417514388079907,0.157680947899814,24,2,0.295747413310101,"no","","yes",0.00642398286937901,467
"ASXL3",30,5,0.0351063561083147,"no",0.00155169047130517,0.138989310851038,-0.044445930942829,0.106717591848592,23,3,0.408656513449595,"no","","yes",0.23982869379015,467
"ROBO2",27,4,0.0381790787108669,"no",-0.0938627891440457,0.198838973334689,-0.0310981424275107,0.0309397187170434,18,4,0.836430789585533,"no","","yes",0.124197002141328,467
"VSIG10",34,2,0.0418950014461802,"no",0.0594820929099766,0.136137244364941,0.0037533984925742,0.00027419277422145,25,1,NA,NA,"","yes",0.0214132762312634,467
"TDG",32,3,0.0422221438667135,"no",-0.084266914164104,0.264445563116077,-0.116055103585164,0.489748464696117,22,3,0.354416770238276,"no","","yes",0.0107066381156317,467
"NFIA",32,2,0.0422629276726669,"no",-0.15920243995067,0.168026655109235,-0.124420283646102,0.0680322619688937,23,2,0.405416343886113,"no","","yes",0.019271948608137,467
"ANKRD32",32,3,0.0432388012230556,"no",NA,NA,NA,NA,0,0,NA,NA,"",NA,0.0149892933618844,467
"KIAA1875",32,2,0.0441210685450468,"no",NA,NA,NA,NA,0,0,NA,NA,"",NA,NA,467
"RELA",31,3,0.0442750473504168,"no",0.00444948743316997,0.205038002733949,-0.0193992024360596,0.0816961205473828,23,2,0.391272418766605,"no","ST_Act","yes",0.0171306209850107,467
"KCNQ2",32,2,0.0448471990591403,"no",0.0112499624623218,0.265762406960288,-0.356881004334307,0.342854575537861,23,1,NA,NA,"","yes",0.0385438972162741,467
"CYP11B2",32,2,0.0448755498533749,"no",-0.0195861108555779,0.114975700956255,-0.100703684613707,0.111566100031275,26,0,NA,NA,"","no",0.0385438972162741,467
"SHPRH",33,2,0.0475030025892722,"no",0.0574020043638748,0.197359036299369,-0.043829679295713,0.0521556173472614,24,2,0.768942255760267,"no","","yes",0.0235546038543897,467
"NBEA",27,8,0.049655892241383,"no",NA,NA,NA,NA,22,4,0.139764318577737,"no","BC_ambiguous,CM_ambiguous,COREAD_ambiguous,DLBCL_ambiguous,ESCA_ambiguous,HC_ambiguous,PAAD_ambiguous","yes",0.143468950749465,467
"LGSN",31,3,0.0507089201304309,"no",0.055128824514173,0.322764028090293,-0.118730438766956,0.149207561801672,24,1,NA,NA,"","yes",0.0685224839400428,467
"SDHA",29,3,0.0508340766316125,"no",0.0660029768250657,0.201139744331473,0.067674324827951,0.223972606500793,23,1,NA,NA,"","yes",0.0171306209850107,467
"FRAS1",26,8,0.0518016176930327,"no",0.0552765274925242,0.109315135073556,0.0252165527581202,0.484351796018215,19,6,0.202746439498192,"no","","yes",0.15203426124197,467
"CHD2",29,3,0.0533497128296034,"no",-0.216568870512045,0.246099506240596,-0.331428459056638,0.154636556847984,22,2,0.705902134402734,"no","BLCA_LoF,CLL_LoF,OS_LoF,RPC_LoF","yes",0.0321199143468951,467
"NAT14",33,2,0.0549684271511098,"no",-0.501426136103521,0.284904438532119,-0.543034863132925,0.013449525799162,24,2,0.324036839456388,"no","","yes",0,467
"RNF213",31,3,0.055199078199751,"no",-0.0519475560092531,0.12396914014748,-0.155142093173697,0.123325040229671,24,2,0.589194879249449,"no","BLCA_Act,ESCA_Act,LUSC_Act,MBL_Act,PRAD_Act,SBCC_Act,UCEC_Act","yes",0.0642398286937901,467
"ANKK1",29,2,0.0555970508073635,"no",-0.0737903802270755,0.247288955780279,-0.281857023111738,0.1167666867153,20,2,0.526872536838167,"no","","yes",0.0235546038543897,467
"CEL",32,3,0.0568569050994338,"no",-0.117809263316284,0.281079486971517,-0.263160321260595,0.078297268619045,24,2,0.737850055274771,"no","","yes",0.0235546038543897,467
"COL1A2",25,4,0.0582088676008321,"no",-0.048330694842858,0.145579740629664,-0.134106221486635,0.0368678865050451,18,3,0.393642781356311,"no","","yes",0.0963597430406852,467
"SEMA3G",34,2,0.0614222510966008,"no",-0.131910681311345,0.23200042728695,-0.354396385460218,0.0125186476720345,25,1,NA,NA,"","yes",0.0406852248394004,467
"RANBP2",30,5,0.0622635818206873,"no",-0.671368774214808,0.293736626536682,-1.04191020837209,0.526652394609357,24,2,0.483534345901194,"no","HC_LoF,NB_LoF,NSPH_LoF,PCPG_LoF,PRAD_LoF,RCCC_LoF","yes",0.0663811563169165,467
"SAFB",33,2,0.0630211733804071,"no",-0.130276077459009,0.22838020320291,-0.258669457498284,0.245617848572353,23,2,0.21425873799378,"no","","yes",0.0171306209850107,467
"DDX43",31,2,0.0634685718985671,"no",-0.0169647559724072,0.189958395911742,-0.042293514552727,0.148533551166814,23,2,0.623600813920231,"no","","yes",0.0278372591006424,467
"MED1",31,4,0.0636142774507947,"no",-0.313488394420436,0.723253957374663,-0.66175899944338,0.672971052840301,23,3,0.443057881331649,"no","","yes",0.0235546038543897,467
"SIGLEC12",31,3,0.0638336228059583,"no",0.0100006533482793,0.20544309950249,-0.07497265028521,0.085752307782617,23,1,NA,NA,"","yes",0.0556745182012848,467
"RASGEF1C",33,2,0.0638454575594175,"no",0.174989201117665,0.283743787840175,-0.281587559623084,0.0857957070361765,25,1,NA,NA,"","yes",0.0214132762312634,467
"USP35",31,2,0.0652025534530101,"no",-0.0960300752056192,0.366275454440579,-0.345263558739975,0.195934139016987,23,1,NA,NA,"","yes",0.0171306209850107,467
"GABRA6",32,2,0.0654305681714011,"no",NA,NA,NA,NA,23,2,0.770082487141303,"no","","no",0.0685224839400428,467
"PPP1R12B",32,3,0.0659014185723161,"no",0.0972679301527622,0.208538730626557,-0.0500412209491905,0.0399423555243782,24,1,NA,NA,"","yes",0.0214132762312634,467
"NLRP12",33,3,0.0669589239934345,"no",-0.00947126773189344,0.261567239243502,-0.178584464708706,0.080368771525083,24,2,0.54453117170555,"no","","yes",0.109207708779443,467
"LRP5",31,2,0.0677609138213239,"no",-0.0167842878933118,0.231073351770633,-0.14971352314076,0.0172567268272465,24,0,NA,NA,"","yes",0.0492505353319058,467
"DOPEY1",30,3,0.0681643028276364,"no",0.0103509999740458,0.199063517463578,-0.159400543412178,0.0934236002609365,23,2,0.378498917416679,"no","",NA,0.0364025695931477,467
"SAE1",32,2,0.0686487418228177,"no",-0.240617604441151,0.294693107976644,-0.470060208797444,0.074151597278821,24,2,0.496389557850681,"no","","yes",0.00856531049250535,467
"CDC42BPA",31,3,0.0699091576042602,"no",-0.153322775638,0.360424554911329,-0.575061423224004,0.401302878958373,23,2,0.431768427441854,"no","","yes",0.0385438972162741,467
"SORCS2",31,4,0.0700131411160269,"no",0.0477213295296834,0.165905372133432,0.0212996883865092,0.166940504320785,23,3,0.552126606526243,"no","","yes",0.0471092077087794,467
"SDS",30,4,0.0701809704021539,"no",0.0251589914602968,0.183159861787109,0.0419269927933194,0.160422037828893,22,3,0.37875154913994,"no","","yes",0.00214132762312634,467
"DHRS9",33,2,0.0704309924202482,"no",0.0268767847575429,0.242129738958812,-0.0390063048905162,0.0435568087718421,24,1,NA,NA,"","yes",0.0235546038543897,467
"ATP2A3",28,7,0.070666619818931,"no",0.0127145160637982,0.251078741540409,-0.0309524137880152,0.0988227742703572,20,5,0.166415753295594,"no","","yes",0.0406852248394004,467
"VPREB1",31,2,0.0706726312058787,"no",-0.0605204245922951,0.212151554994146,-0.121592057452577,0.173914070160412,22,2,0.0564660559790774,"no","","no",0.019271948608137,467
"ATP8A2",31,3,0.0715426882745367,"no",0.0122767741116501,0.101671067114953,-0.0635196976960769,0.110602329081265,24,1,NA,NA,"","yes",0.0385438972162741,467
"TDRD1",29,5,0.0728640325701969,"no",-0.0413686249322438,0.191989288252398,-0.0899537523864992,0.264506674167642,23,3,0.511395368643024,"no","","yes",0.0749464668094218,467
"S1PR5",31,2,0.0740898114316483,"no",0.112270584742811,0.223604188380315,0.200918107975296,0.00256139619629997,22,2,0.805615127035191,"no","","yes",0.00214132762312634,467
"MYO7B",33,3,0.0743035894849654,"no",0.0421752226354422,0.140028749811556,-0.254303914997216,0.146870243177443,24,2,0.9197994538433,"no","","yes",0.0942184154175589,467
"TSC22D1",33,2,0.0748359922275387,"no",0.056211390910017,0.170501182686117,0.0614051192807443,0.0427318137596167,25,1,NA,NA,"","yes",0.00856531049250535,467
"GTF3C2",33,2,0.0776630097429233,"no",-0.414602966118508,0.364702222543235,-0.562423455256013,0.149839033276987,25,1,NA,NA,"","yes",0.0278372591006424,467
"COL5A1",30,3,0.0778227430385076,"no",0.110930194326513,0.151019368782053,-0.0392041067177254,0.0315893753771711,23,1,NA,NA,"","yes",0.169164882226981,467
"TFAP4",33,2,0.0781390744057777,"no",-0.0916686324168672,0.195776803302099,-0.219883669935244,0.11450690224788,26,0,NA,NA,"BLY_LoF,NHLY_LoF","yes",0.0107066381156317,467
"F13A1",27,3,0.0783411384533793,"no",-0.0574485944161703,0.210023793531703,-0.110131193627385,0.0395813774342491,21,4,0.41928457005506,"no","","yes",0.0620985010706638,467
"NBEAL1",30,3,0.0788335619867931,"no",-0.158364298387215,0.193104799135711,-0.232996530003147,0.314255593374483,24,1,NA,NA,"","yes",0.0449678800856531,467
"FUK",33,2,0.078850077009378,"no",-0.10917497465072,0.245779572610085,-0.0353895192419641,0.079070512209816,25,1,NA,NA,"",NA,0.0149892933618844,467
"PRDM2",30,3,0.0806062683085682,"no",-0.125443416307687,0.183596676144474,-0.0816882397302276,0.0965048826552015,22,2,0.53378523123258,"no","AN_ambiguous,HC_ambiguous,RPC_ambiguous","yes",0.0321199143468951,467
"IDO2",30,2,0.0814913990599817,"no",NA,NA,NA,NA,0,0,NA,NA,"","yes",0.0535331905781585,467
"BCAN",29,5,0.0829498340477445,"no",0.0680934187189352,0.139260302160907,0.0872941375221109,0.0761951293511829,21,4,0.397604984311035,"no","","yes",0.0449678800856531,467
"LMBR1",30,2,0.0839391179219479,"no",-0.0879115960074986,0.137121339524005,-0.456528477836204,0.00321369958489698,22,2,0.0492754096031402,"no","","yes",0.012847965738758,467
"PIK3CD",33,2,0.0857458222314855,"no",-0.179598513430321,0.301091755999469,-0.582665188573904,0.0102607304181144,25,0,NA,NA,"","yes",0.0235546038543897,467
"EPHB1",32,3,0.0863544912769423,"no",0.073171287273043,0.160612350730692,-0.112871458895016,0.211065943106479,22,3,0.553256354755925,"no","","yes",0.0685224839400428,467
"PELP1",30,3,0.0869720836086617,"no",-0.627690121972069,0.257244762626922,-0.869588213783876,0.304281607454627,23,2,0.494788019293123,"no","","yes",0.0385438972162741,467
"CECR2",25,8,0.0889474872480903,"no",-0.0479602340169777,0.221736744233135,-0.0157749188956755,0.110790685088276,0,0,NA,NA,"","yes",0.0728051391862955,467
"ABCC3",32,3,0.0890140670580455,"no",0.010067982825241,0.248849658375953,-0.0105459369642493,0.0657311076350599,24,1,NA,NA,"","yes",0.0813704496788009,467
"SERPINB8",32,2,0.0891995153335147,"no",0.1053308238531,0.138436537387357,0.0364247489609246,0.115076621736196,24,1,NA,NA,"","yes",0.0171306209850107,467
"F13B",28,4,0.0898952286730984,"no",-0.0567798158427059,0.12807010477192,-0.180231921961418,0.0699097463559891,21,3,0.496351310983107,"no","","no",0.0792291220556745,467
"NMBR",33,2,0.0900676484082766,"no",-0.00744708314645659,0.167178289648842,0.13175853155288,0.0498607277705864,24,2,0.0700370660907184,"no","","no",0.0321199143468951,467
"AFP",32,2,0.0912224555442489,"no",0.101267112759058,0.156411721960633,0.252443827498002,0.0955696947331595,23,2,0.666271236482463,"no","","no",0.0385438972162741,467
"GLRA1",34,2,0.0927676938680823,"no",0.0194427495088445,0.198950688932774,-0.0924094872914927,0.0415965636423482,24,2,0.714714631948166,"no","","no",0.0299785867237687,467
"LRP10",32,4,0.0931050447740853,"no",0.0413430422044793,0.154334430910817,-0.144576572594893,0.380263900573311,24,2,0.861639302158684,"no","","yes",0.0235546038543897,467
"KLRG2",28,2,0.0939248585214685,"no",-0.0477492378797079,0.120204260835124,-0.0993865105081085,0.142329713346535,21,2,0.750685153978988,"no","","yes",0.00642398286937901,467
"DGKG",32,3,0.0956455530175024,"no",-0.0266984310493911,0.193461746301353,-0.21392037322803,0.0879191161736027,22,3,0.808423590691439,"no","","yes",0.0535331905781585,467
"KIF2B",33,2,0.0958357602888202,"no",-0.0708712534424077,0.204851001890675,-0.316871045761488,0.1272800324784,24,1,NA,NA,"","no",0.0942184154175589,467
"DUOX2",32,2,0.0967587445092416,"no",-0.0647991089435271,0.18805757637017,-0.179293593986642,0.101639579632832,24,1,NA,NA,"","yes",0.0877944325481799,467
"ARSG",30,2,0.0977047253639578,"no",0.094911803282438,0.173324850239112,0.0284459235055805,0.174633626372704,24,1,NA,NA,"","yes",0.0171306209850107,467
"USP44",33,2,0.097992862666791,"no",0.113846426958368,0.226259591643886,-0.198828128228263,0.0679169243520024,26,0,NA,NA,"SBCC_LoF,UCEC_LoF","yes",0.0278372591006424,467
"CSMD1",16,18,0.0989426158536969,"no",-0.0588298624410076,0.264124258753826,-0.0761726438720791,0.273376735522374,10,15,0.93073240483355,"no","","yes",0.32762312633833,467
"HDAC4",31,2,0.10153048777969,"no",0.125616130544812,0.136646418476216,0.02315646606117,0.156477386016523,22,1,NA,NA,"","yes",0.0214132762312634,467
"MTMR9",30,2,0.102427054541633,"no",-0.182721880963625,0.290326617232753,-0.216796793230675,0.06902062218792,21,2,0.429855519115183,"no","","yes",0.0107066381156317,467
"ULK1",33,2,0.102515503112504,"no",0.0508463932735557,0.0986425916296046,0.0117570803317927,0.0045504675431806,25,0,NA,NA,"","yes",0.0342612419700214,467
"TMEM130",30,2,0.102637710088077,"no",0.106660450343845,0.147604989848588,-0.0605830276654901,0.14211211362722,22,1,NA,NA,"","yes",0.0321199143468951,467
"IL1RL1",32,4,0.102790405173124,"no",-0.145467524741068,0.411460786538509,-0.180366464140485,0.174830957129442,24,2,0.600257860918836,"no","","yes",0.0620985010706638,467
"CX3CR1",34,2,0.103527446692139,"no",0.0590781668590118,0.220577734383521,0.208064089548764,0.036698324477887,25,1,NA,NA,"","yes",0.0428265524625268,467
"NWD1",30,3,0.104437018770122,"no",-0.0458211544518096,0.169858239578352,-0.180679263821026,0.135269859304571,23,1,NA,NA,"","yes",0.141327623126338,467
"KIF14",31,2,0.105155046155183,"no",-0.199644795525827,0.143196311232496,-0.488755846912708,0.310075140040378,23,1,NA,NA,"","yes",0.0385438972162741,467
"SRSF4",33,2,0.105200157764352,"no",0.0137723927572103,0.128812261547561,-0.171932205439453,0.00393222856627201,24,1,NA,NA,"","yes",0.00428265524625268,467
"PTPN14",32,3,0.105334180568881,"no",0.206427334288633,0.243646927619751,0.013758204831911,0.136449155382903,23,2,0.585111557657514,"no","SBCC_LoF","yes",0.0214132762312634,467
"TTN",3,29,0.106621234116388,"no",0.0719013302511884,0.183336367639513,0.0157390753233538,0.151077687041786,2,21,0.321855999715139,"no","","yes",0.704496788008565,467
"HCN1",30,3,0.106677105380445,"no",-0.00985312043493685,0.272466262096659,0.168468071612202,0.390471977805229,24,1,NA,NA,"","yes",0.119914346895075,467
"RGPD4",29,5,0.110753043894685,"no",0.0661872398160987,0.376097282945574,0.321287034782166,0.157786888039832,21,4,0.564442504580197,"no","","yes",0.190578158458244,467
"TAS1R2",29,4,0.11265204717277,"no",0.0132842176765795,0.155888804491952,-0.0242065701592264,0.111001262188458,22,3,0.507026447934758,"no","","no",0.0685224839400428,467
"IRX6",33,2,0.113296286779427,"no",0.0383211836093767,0.185298477556205,0.0634641389910238,0.10161592628656,26,0,NA,NA,"","yes",0.0149892933618844,467
"FRMPD1",32,4,0.114587008844711,"no",0.075767825937762,0.273632188583741,-0.000132306401800199,0.131108399390128,23,3,0.376930058333837,"no","","yes",0.0663811563169165,467
"SYNJ2",34,2,0.115250634523616,"no",0.0054648335058121,0.234404832661009,-0.043646259419415,0.0611397751843981,24,2,0.540336079040659,"no","","yes",0.0492505353319058,467
"GABRA1",32,3,0.117370107799953,"no",0.0676974930480879,0.178891941042227,-0.152669105708188,0.244550888956894,24,2,0.624156855717996,"no","","no",0.0535331905781585,467
"MED23",33,2,0.117940360269639,"no",-0.124009442946329,0.180650714455059,-0.300423709736408,0.0189166124427335,25,1,NA,NA,"","yes",0.0214132762312634,467
"STK11IP",34,2,0.118236821670126,"no",-0.00176259269092801,0.184366169289845,-0.00508137438471545,0.0581836836490671,24,2,0.374018112688055,"no","","yes",0.0321199143468951,467
"SEC62",29,4,0.118535632827636,"no",NA,NA,NA,NA,22,3,0.44260894799557,"no","","yes",0.00428265524625268,467
"BCL11A",32,3,0.118888572569371,"no",0.139173011505846,0.109038991446269,0.0660002024029702,0.0836153847020586,24,2,0.220938842128302,"no","NHLY_Act","yes",0.0877944325481799,467
"EZH2",28,2,0.119002107242796,"no",0.0548651642537073,0.224780954403989,0.0714021653952056,0.148095893074389,20,2,0.541520169631351,"no","ALL_LoF,AML_LoF,DLBCL_LoF,EWS_LoF,LUAD_LoF,LY_LoF,NHLY_LoF","yes",0.0278372591006424,467
"DNAH5",21,13,0.120392891186781,"no",0.0232146303306489,0.152177017414915,-0.012928002135423,0.213023853143567,14,11,0.709691955301234,"no","","yes",0.471092077087794,467
"ZEB1",28,7,0.120670847457305,"no",0.0315728371935957,0.13547775398067,-0.084059893519077,0.080195997080776,22,4,0.876865388808153,"no","MM_LoF,NSPH_LoF","yes",0.0728051391862955,467
